id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
45149,,2013,True,Clear,1,416,416,Central African Republic:Government,12088,12088,Government of Central African Republic - Seleka,86,86,Government of Central African Republic,1159,1159,Seleka,2,"""BBC Monitoring Africa,2013-03-14,Military sources confirm killing of four soldiers in southeastern CAR"";""RJDH-RCA,2013-03-11,Bangassou : La ville finalement tombée entre les mains des rebelles et Rafaï en phase d’être attaquée""",BBC Monitoring Africa;RJDH-RCA,2013-03-14;2013-03-11,Military sources confirm killing of four soldiers in southeastern CAR;Bangassou : La ville finalement tombée entre les mains des rebelles et Rafaï en phase d’être attaquée,Military sources in Bangui ,1,Bangassou  town,,Mbomou province,Bangassou region,4.838954,23.117389,POINT (23.117389 4.838954),136487,Central African Republic,482,Africa,1,1,03/11/2013 00:00:00,03/11/2013 00:00:00,4,1,2,0,7,7,7,
45150,,2013,True,Clear,1,416,416,Central African Republic:Government,12088,12088,Government of Central African Republic - Seleka,86,86,Government of Central African Republic,1159,1159,Seleka,10,"""Reuters News,2013-03-24,Six South African soldiers dead in C.African Republic - witness"";""Reuters News,2013-03-24,UPDATE 5-Rebels capture C.African Republic capital, Bozize flees"";""Reuters News,2013-03-25,At least 13 S.African soldiers dead in C.Africa fighting-Zuma"";""Agence France Presse,2013-03-25,UN calls emergency talks after deadly Central Africa coup"";""All Africa,2013-03-25,Condolences for Fallen SA Soldiers"";""Agence France Presse,2013-03-26,Looters rampage in C. Africa as strongman to unveil government"";""All Africa,2013-04-01,Africa News Round Up March, Saturday 30, 2013"";""All Africa,2013-04-04,More Than 50 South African Soldiers Killed in Car Bangui Clash - Witness"";""BBC Monitoring Africa,2013-04-05,South African leader orders withdrawal of troops from CAR over deaths"";""Agence France Presse,2013-05-29,S.Africa death toll in Central Africa coup rises to 15""",Reuters News;Reuters News;Reuters News;Agence France Presse;All Africa;Agence France Presse;All Africa;All Africa;BBC Monitoring Africa;Agence France Presse,2013-03-24;2013-03-24;2013-03-25;2013-03-25;2013-03-25;2013-03-26;2013-04-01;2013-04-04;2013-04-05;2013-05-29,"Six South African soldiers dead in C.African Republic - witness;UPDATE 5-Rebels capture C.African Republic capital, Bozize flees;At least 13 S.African soldiers dead in C.Africa fighting-Zuma;UN calls emergency talks after deadly Central Africa coup;Condolences for Fallen SA Soldiers;Looters rampage in C. Africa as strongman to unveil government;Africa News Round Up March, Saturday 30, 2013;More Than 50 South African Soldiers Killed in Car Bangui Clash - Witness;South African leader orders withdrawal of troops from CAR over deaths;S.Africa death toll in Central Africa coup rises to 15","South African Presiden Jacob Zuma, Red Cross official Albert Yomba Eyamo ",1,Bangui city,,Bangui province,Bangui region,4.366667,18.583333,POINT (18.583333 4.366667),135758,Central African Republic,482,Africa,1,1,03/24/2013 00:00:00,03/24/2013 00:00:00,15,0,0,78,93,141,91,
45154,,2013,True,Clear,1,416,416,Central African Republic:Government,12380,12380,Government of Central African Republic - anti-Balaka,86,86,Government of Central African Republic,4201,4201,anti-Balaka,3,"""Reuters News,2013-04-14,Seven killed in gunbattle in C.African Republic capital"";""Agence France Presse,2014-02-16,C. Africa PM meets 'anti-balaka' chiefs, some ready to cooperate"";""S/2014/928,2014-12-22,Letter dated 19 December 2014 from the Secretary-General addressed to the President of the Security Council""",Reuters News;Agence France Presse;S/2014/928,2013-04-14;2014-02-16;2014-12-22,"Seven killed in gunbattle in C.African Republic capital;C. Africa PM meets 'anti-balaka' chiefs, some ready to cooperate;Letter dated 19 December 2014 from the Secretary-General addressed to the President of the Security Council","Romain Guetinzia, head of the Bangui's Community Hospital",1,Bangui city,,Bangui province,Bangui region,4.366667,18.583333,POINT (18.583333 4.366667),135758,Central African Republic,482,Africa,1,1,04/14/2013 00:00:00,04/14/2013 00:00:00,0,0,3,4,7,7,7,
45155,,2013,True,Clear,3,86,464,Government of Central African Republic - Civilians,86,931,Government of Central African Republic - Civilians,86,86,Government of Central African Republic,9999,1,Civilians,5,"""Agence France Presse,2013-04-14,Clashes in C.Africa leave over a dozen dead: officials"";""Agence France Presse,2013-04-15,Clashes in C.Africa leave over a dozen dead: officials"";""Agence France Presse,2013-04-15,C. Africa capital tense after deadly weekend clashes"";""BBC Monitoring Africa,2013-04-16,Regional force expected in Central African Republic capital to provide security"";""HRW,2013-09-26,“I Can Still Smell the Dead” The Forgotten Human Rights Crisis in the Central African Republic""",Agence France Presse;Agence France Presse;Agence France Presse;BBC Monitoring Africa;HRW,2013-04-14;2013-04-15;2013-04-15;2013-04-16;2013-09-26,Clashes in C.Africa leave over a dozen dead: officials;Clashes in C.Africa leave over a dozen dead: officials;C. Africa capital tense after deadly weekend clashes;Regional force expected in Central African Republic capital to provide security;“I Can Still Smell the Dead” The Forgotten Human Rights Crisis in the Central African Republic,medical and police sources and witnesses.,1,Bangui city,,Bangui province,Bangui region,4.366667,18.583333,POINT (18.583333 4.366667),135758,Central African Republic,482,Africa,2,2,04/13/2013 00:00:00,04/14/2013 00:00:00,0,0,0,28,28,28,28,
45162,,2013,True,Clear,1,416,416,Central African Republic:Government,12088,12088,Government of Central African Republic - Seleka,86,86,Government of Central African Republic,1159,1159,Seleka,1,"""BBC Monitoring Africa,2013-05-07,CAR court opens probe into abuses by ex-President Bozize's men""",BBC Monitoring Africa,2013-05-07,CAR court opens probe into abuses by ex-President Bozize's men,The justice minister ,6,Central African Republic,,,,7.000000,21.000000,POINT (21.000000 7.000000),140083,Central African Republic,482,Africa,1,1,03/23/2013 00:00:00,03/23/2013 00:00:00,0,10,0,0,10,10,10,
45170,,2013,False,Clear,1,375,375,Senegal:Casamance,806,806,Government of Senegal - MFDC,73,73,Government of Senegal,529,529,MFDC,2,"""Reuters News,2013-02-02,UPDATE 1-Four killed, including Frenchman, in southern Senegal"";""APA News,2013-02-02,At least three die as suspected rebels attack southern Senegalese town """,Reuters News;APA News,2013-02-02;2013-02-02,"UPDATE 1-Four killed, including Frenchman, in southern Senegal;At least three die as suspected rebels attack southern Senegalese town ", a military source ,1,Kafountine town,,Ziguinchor region,Bignona department,12.925278,-16.738889,POINT (-16.738889 12.925278),147927,Senegal,433,Africa,1,1,02/01/2013 00:00:00,02/01/2013 00:00:00,0,0,1,3,4,4,4,
45173,,2013,False,Clear,1,375,375,Senegal:Casamance,806,806,Government of Senegal - MFDC,73,73,Government of Senegal,529,529,MFDC,8,"""IHS Global Insight Daily Analysis,2013-02-11,Landmine kills two in Senegal's southern province "";""Agencia EFE - Servicio Internacional,2013-02-09,Dos muertos al explotar una mina en el sur de Senegal; SENEGAL REBELIÓN"";""Agence France Presse,2013-02-09,Landmine kills two in Senegal's Casamance"";""The Canadian Press - Broadcast wire,2013-02-10,Update:APNewsNow.  
CR  AP"";""Associated Press Newswires,2013-02-10,Senegalese official: Woman and son killed by land mine in southern Casamance region"";""Agencia EFE - Servicio Internacional,2013-02-10,La explosión de una mina antipersona provoca dos muertos en el sur de Senegal; SENEGAL EXPLOSIÓN"";""All Africa,2013-02-11,Une mère et son enfant tués par l'explosion d'une mine à Sindian"";""IHS Global Insight Daily Analysis,2013-02-11,Landmine kills two in Senegal's southern province""",IHS Global Insight Daily Analysis;Agencia EFE - Servicio Internacional;Agence France Presse;The Canadian Press - Broadcast wire;Associated Press Newswires;Agencia EFE - Servicio Internacional;All Africa;IHS Global Insight Daily Analysis,2013-02-11;2013-02-09;2013-02-09;2013-02-10;2013-02-10;2013-02-10;2013-02-11;2013-02-11,"Landmine kills two in Senegal's southern province ;Dos muertos al explotar una mina en el sur de Senegal; SENEGAL REBELIÓN;Landmine kills two in Senegal's Casamance;Update:APNewsNow.  
CR  AP;Senegalese official: Woman and son killed by land mine in southern Casamance region;La explosión de una mina antipersona provoca dos muertos en el sur de Senegal; SENEGAL EXPLOSIÓN;Une mère et son enfant tués par l'explosion d'une mine à Sindian;Landmine kills two in Senegal's southern province","A local resident, a security source and hospital official",2,Diocadou village,,Ziguinchor region,Bignona department,13.134743,-16.109313,POINT (-16.109313 13.134743),148648,Senegal,433,Africa,1,1,02/09/2013 00:00:00,02/09/2013 00:00:00,0,0,2,0,2,2,2,
45174,,2013,False,Clear,1,375,375,Senegal:Casamance,806,806,Government of Senegal - MFDC,73,73,Government of Senegal,529,529,MFDC,1,"""CrisisWatch N°117,2013-05-01,8 April attack on Thionck-Essyl village led to death of local MFDC commander""",CrisisWatch N°117,2013-05-01,8 April attack on Thionck-Essyl village led to death of local MFDC commander,,1,Tionk Essil village,,Ziguinchor region,Bignona department,12.785556,-16.521667,POINT (-16.521667 12.785556),147927,Senegal,433,Africa,1,1,04/08/2013 00:00:00,04/08/2013 00:00:00,0,1,0,0,1,1,1,
45179,,2013,False,Clear,1,375,375,Senegal:Casamance,806,806,Government of Senegal - MFDC,73,73,Government of Senegal,529,529,MFDC,1,"""CrisisWatch N°117,2013-05-01,MFDC attack in Sindian""",CrisisWatch N°117,2013-05-01,MFDC attack in Sindian,,1,Sindia village,,Ziguinchor region,Bignona department,12.963056,-16.181944,POINT (-16.181944 12.963056),147928,Senegal,433,Africa,1,1,04/26/2013 00:00:00,04/26/2013 00:00:00,0,1,0,0,1,1,1,
45389,,2013,True,Clear,3,86,464,Government of Central African Republic - Civilians,86,931,Government of Central African Republic - Civilians,86,86,Government of Central African Republic,9999,1,Civilians,1,"""Agence France Presse,2013-06-03,Seven slain in attack on Central African town""",Agence France Presse,2013-06-03,Seven slain in attack on Central African town,military source ,1,Bouca town,,Ouham province,Bouca region,6.510464,18.273310,POINT (18.273310 6.510464),139357,Central African Republic,482,Africa,1,1,06/02/2013 00:00:00,06/02/2013 00:00:00,0,0,7,0,7,7,7,
