Country,DON Count
China ,346
Saudi Arabia ,182
Vietnam ,125
Canada ,120
Egypt ,119
France ,112
Thailand ,102
Singapore ,93
Guinea ,84
Uganda ,80
United States of America ,76
Congo ,73
Liberia ,73
Germany ,71
Brazil ,62
Sierra Leone ,61
Sudan ,59
Italy ,58
Angola ,56
Korea ,52
South Africa ,52
Switzerland ,50
Nigeria ,49
Spain ,47
Ireland ,43
Burkina Faso ,42
India ,38
Malaysia ,38
Mongolia ,38
United Arab Emirates ,37
Chad ,36
Romania ,35
Cambodia ,32
Sweden ,32
Senegal ,31
Australia ,29
Ivory Coast ,27
Madagascar ,27
Gabon ,26
Kuwait ,25
Niger ,25
Qatar ,25
Russia ,25
Philippines ,24
Iraq ,23
Ethiopia ,21
Mali ,20
Kenya ,19
Netherlands ,19
Bangladesh ,18
Finland ,18
Jordan ,17
Oman ,17
Somalia ,17
Benin ,16
Afghanistan ,15
Bulgaria ,15
Central Africa ,15
Norway ,15
Turkey ,15
Tanzania ,15
Belgium ,14
Pakistan ,13
Poland ,13
Portugal ,13
Yemen ,13
Zimbabwe ,13
Burundi ,12
Demark ,12
Togo ,12
Haiti ,11
Iran ,11
Israel ,11
Lao ,11
Mexico ,11
Mozambique ,11
Zambia ,11
Austria ,10
Japan ,10
Slovenia ,10
Syria ,10
Comoros ,9
Ghana ,9
Mauritania ,9
Panama ,9
Timor Leste,9
Ukraine ,9
Algeria ,8
Azerbaijan ,8
Bolivia ,8
Greece ,8
Latvia ,8
Malawi ,8
Paraguay ,8
Rwanda ,8
Cape Verde ,7
Czech Republic ,7
Morocco ,7
Nepal ,7
Peru ,7
Tunisia ,7
Venezuela ,7
Seychelles ,7
Suriname ,7
Micronesia ,6
Gambia ,6
Honduras ,6
Lebanon ,6
Namibia ,6
Tajikistan ,6
Sri Lanka ,6
Chile ,5
Argentina ,5
Armenia ,5
Bahrain ,5
Bhutan ,5
Chile ,5
Colombia ,5
Cuba ,5
Djibouti ,5
Ecuador ,5
Fiji ,5
Guatemala ,5
Hungary ,5
Jamaica ,5
Kazakhstan ,5
Kyrgyzstan ,5
Lesotho ,5
Myanmar ,5
Albania ,0
Andorra ,0
Antigua and Barbuda ,0
Bahamas ,0
Belarus ,0
Barbados ,0
Belize ,0
Boznia and Herzegovina ,0
Botswana ,0
Brunei ,0
Congo (updated to Democratic Republic of Congo),0
Cook Islands ,0
Costa Rica ,0
Croatia ,0
Dominica ,0
Dominican Republic ,0
Eritrea ,0
Estonia ,0
Georgia ,0
Grenada ,0
Guyana ,0
Iceland ,0
Indonesia ,0
Kiribati ,0
Libya ,0
Lithuania ,0
Luxembourg ,0
Maldives ,0
Malta ,0
Marshall Islands ,0
Monaco ,0
Nauru ,0
New Zealand ,0
Nicaragua ,0
Niue ,0
Palau ,0
Papua New Guinea ,0
Moldova ,0
Yugoslavia ,0
Tonga ,0
Trinidad and Tobago ,0
Turkmenistan ,0
Tuvalu ,0
Uruguay ,0
Uzbekistan ,0
Vanatu ,0
Saint Kitts and Nevis ,0
Saint Lucia ,0
Saint Vincent ,0
Samoa ,0
San Marino ,0
Sao Tome and Principe ,0
Serbia and Montenegro ,0
Slovakia ,0
Solomon Islands ,0
Swaziland ,0
