Timestamp,Country,Disease
14-06-2014,algeria,MERS-CoV
14-06-2016,angola,Yellow fever
12-02-2016,angola,Yellow fever
13-04-2016,angola,Yellow fever
22-03-2016,angola,Yellow fever
14-03-2016,argentina,Chikungunya
20-09-2016,austria,MERS-CoV
02-10-2014,austria,MERS-CoV
25-04-2016,bahrain,MERS-CoV
06-06-2013,benin,Meningococcal disease
19-02-2016,benin,Lassa fever
13-06-2016,benin,Lassa fever
08-01-2016,brazil,Microcephaly
20-11-2015,brazil,Microcephaly
13-02-2015,brazil,Measles
27-11-2015,brazil,Microcephaly
21-10-2015,brazil,Zika virus infection
15-12-2015,brazil,Microcephaly
06-06-2013,burkina_faso,Meningococcal disease
18-11-2016,burkina_faso,Dengue fever
01-02-2013,cambodia,Avian influenza
13-02-2015,canada,Measles
01-02-2015,canada,Avian influenza
09-01-2014,canada,Avian influenza
21-12-2015,cape_verde,Zika virus infection
13-10-2016,central_africa,Monkeypox
06-06-2013,chad,Meningococcal disease
14-02-2013,chad,Yellow fever
10-04-2014,china,Avian influenza
29-03-2016,china,Avian influenza
15-04-2014,china,Avian influenza
08-05-2013,china,Avian influenza
15-04-2013,china,Influenza
10-06-2014,china,Avian influenza
14-01-2014,china,Avian influenza
19-04-2013,china,Avian influenza
27-06-2014,china,Avian influenza
19-12-2016,china,Avian influenza
17-02-2014,china,Avian influenza
22-05-2014,china,Avian influenza
11-01-2016,china,Avian influenza
04-04-2013,china,Influenza
01-07-2016,china,Avian influenza
14-04-2015,china,Avian influenza
14-05-2015,china,Avian influenza
07-05-2013,china,Avian influenza
29-01-2014,china,Avian influenza
03-05-2016,china,Avian influenza
15-01-2014,china,Avian influenza
07-01-2014,china,Avian influenza
11-03-2015,china,Avian influenza
27-01-2015,china,Avian influenza
14-04-2013,china,Influenza
03-04-2014,china,Avian influenza
03-03-2014,china,Avian influenza
07-03-2014,china,Avian influenza
26-04-2016,china,Avian influenza
05-04-2013,china,Influenza
20-04-2013,china,Avian influenza
30-05-2015,china,MERS-CoV
11-04-2014,china,Avian influenza
02-05-2013,china,Avian influenza
26-01-2016,china,Avian influenza
10-04-2013,china,Influenza
14-04-2014,china,Avian influenza
21-04-2013,china,Avian influenza
18-02-2014,china,Avian influenza
06-05-2016,china,Avian influenza
24-06-2014,china,Avian influenza
17-12-2013,china,Avian influenza
17-03-2014,china,Avian influenza
11-04-2013,china,Influenza
05-03-2014,china,Avian influenza
16-04-2014,china,Avian influenza
30-12-2014,china,Avian influenza
23-12-2016,china,Avian influenza
07-02-2014,china,Avian influenza
23-03-2016,china,Avian influenza
04-09-2014,china,Avian influenza
26-02-2015,china,Avian influenza
06-01-2014,china,Avian influenza
18-06-2014,china,Avian influenza
22-04-2016,china,Yellow fever
25-02-2016,china,Avian influenza
24-12-2014,china,Avian influenza
06-04-2016,china,Yellow fever
10-01-2014,china,Avian influenza
27-02-2014,china,Avian influenza
17-12-2015,china,Avian influenza
16-01-2014,china,Avian influenza
23-01-2014,china,Avian influenza
13-11-2015,china,Avian influenza
03-02-2014,china,Avian influenza
11-03-2014,china,Avian influenza
19-12-2016,china,Avian influenza
04-04-2014,china,Avian influenza
04-02-2014,china,Avian influenza
10-02-2014,china,Avian influenza
10-02-2016,china,Avian influenza
19-01-2016,china,Avian influenza
17-11-2016,china,Avian influenza
22-01-2014,china,Avian influenza
18-04-2013,china,Avian influenza
18-11-2014,china,Avian influenza
14-02-2014,china,Avian influenza
16-10-2013,china,Avian influenza
17-01-2014,china,Avian influenza
28-03-2014,china,Avian influenza
07-12-2016,china,Avian influenza
20-03-2014,china,Avian influenza
01-02-2014,china,Avian influenza
08-02-2015,china,Avian influenza
25-04-2013,china,Avian influenza
16-04-2013,china,Influenza
29-04-2013,china,Avian influenza
06-04-2013,china,Influenza
05-02-2014,china,Avian influenza
17-05-2013,china,Avian influenza
20-03-2014,china,Avian influenza
18-07-2015,china,Avian influenza
03-04-2013,china,Influenza
09-04-2013,china,Influenza
27-01-2014,china,Avian influenza
01-04-2013,china,Influenza
17-04-2013,china,Avian influenza
29-03-2016,china,Yellow fever
20-01-2014,china,Avian influenza
27-02-2014,china,Avian influenza
23-03-2016,china,Avian influenza
06-11-2013,china,Avian influenza
30-01-2014,china,Avian influenza
22-07-2016,china,Avian influenza
17-05-2016,china,Avian influenza
29-05-2013,china,Avian influenza
23-04-2013,china,Avian influenza
13-01-2014,china,Avian influenza
28-12-2014,china,Avian influenza
17-08-2016,china,Avian influenza
10-05-2016,china,Avian influenza
10-03-2014,china,Avian influenza
09-01-2014,china,Avian influenza
24-10-2013,china,Avian influenza
04-07-2013,china,Avian influenza
01-05-2014,china,Avian influenza
14-07-2015,china,Avian influenza
24-02-2014,china,Avian influenza
15-05-2014,china,Avian influenza
28-05-2014,china,Avian influenza
05-02-2014,china,Avian influenza
11-02-2014,china,Avian influenza
12-02-2015,china,Avian influenza
20-01-2014,china,Avian influenza
13-04-2013,china,Influenza
10-12-2013,china,Avian influenza
31-01-2014,china,Avian influenza
19-01-2015,china,Avian influenza
25-01-2014,china,Avian influenza
11-03-2014,china,Avian influenza
08-04-2014,china,Avian influenza
24-04-2014,china,Avian influenza
04-01-2016,china,Avian influenza
19-10-2015,china,Avian influenza
15-06-2015,china,Avian influenza
12-04-2013,china,Influenza
20-07-2013,china,Avian influenza
27-03-2014,china,Avian influenza
11-08-2013,china,Avian influenza
29-10-2014,china,Avian influenza
07-04-2013,china,Influenza
22-04-2013,china,Avian influenza
08-06-2016,china,Avian influenza
21-10-2015,colombia,Zika virus infection
14-06-2013,congo,Yellow fever
10-09-2014,congo,Ebola virus disease
15-12-2015,congo,Cholera
24-04-2014,congo,Yellow fever
27-08-2014,congo,Ebola virus disease
02-06-2016,congo,Yellow fever
11-04-2016,congo,Yellow fever
02-05-2016,congo,Yellow fever
01-05-2014,egypt,MERS-CoV
12-11-2015,egypt,Dengue fever
31-05-2013,ethiopia,Yellow fever
01-04-2016,france,Microcephaly
10-12-2013,france,Chikungunya
09-04-2016,france,Microcephaly
07-03-2016,france,Zika virus infection
21-01-2016,france,Zika virus infection
23-10-2014,france,Chikungunya
08-01-2016,france,Zika virus infection
09-03-2015,germany,MERS-CoV
23-03-2016,germany,Lassa fever
27-04-2016,germany,Lassa fever
06-06-2013,ghana,Meningococcal disease
20-04-2014,greece,MERS-CoV
27-11-2015,guatemala,Zika virus infection
02-05-2014,guinea,Ebola virus disease
01-04-2014,guinea,Ebola virus disease
26-03-2014,guinea,Ebola virus disease
04-09-2014,guinea,Ebola virus disease
10-06-2014,guinea,Ebola virus disease
03-04-2014,guinea,Ebola virus disease
06-06-2014,guinea,Ebola virus disease
04-08-2014,guinea,Ebola virus disease
08-07-2014,guinea,Ebola virus disease
04-06-2014,guinea,Ebola virus disease
27-07-2014,guinea,Ebola virus disease
12-05-2014,guinea,Ebola virus disease
06-06-2013,guinea,Meningococcal disease
22-04-2014,guinea,Ebola virus disease
24-03-2014,guinea,Ebola virus disease
19-04-2014,guinea,Ebola virus disease
31-07-2014,guinea,Ebola virus disease
24-07-2014,guinea,Ebola virus disease
28-08-2014,guinea,Ebola virus disease
01-07-2014,guinea,Ebola virus disease
02-04-2014,guinea,Ebola virus disease
25-03-2014,guinea,Ebola virus disease
10-07-2014,guinea,Ebola virus disease
11-08-2014,guinea,Ebola virus disease
06-08-2014,guinea,Ebola virus disease
06-05-2014,guinea,Ebola virus disease
07-04-2014,guinea,Ebola virus disease
22-06-2014,guinea,Ebola virus disease
24-06-2014,guinea,Ebola virus disease
17-04-2014,guinea,Ebola virus disease
19-07-2014,guinea,Ebola virus disease
30-05-2014,guinea,Ebola virus disease
18-06-2014,guinea,Ebola virus disease
10-04-2014,guinea,Ebola virus disease
14-04-2014,guinea,Ebola virus disease
15-07-2014,guinea,Ebola virus disease
23-03-2014,guinea,Ebola virus disease
24-05-2014,guinea,Ebola virus disease
08-08-2014,guinea,Ebola virus disease
30-03-2014,guinea,Ebola virus disease
28-05-2014,guinea,Ebola virus disease
15-05-2014,guinea,Ebola virus disease
28-04-2014,guinea,Ebola virus disease
09-05-2014,guinea,Ebola virus disease
05-04-2014,guinea,Ebola virus disease
25-04-2014,guinea,Ebola virus disease
08-05-2014,guinea,Ebola virus disease
17-07-2014,guinea,Ebola virus disease
03-07-2014,guinea,Ebola virus disease
27-03-2014,guinea,Ebola virus disease
21-01-2016,haiti,Zika virus infection
21-12-2015,honduras,Zika virus infection
08-05-2015,iran,MERS-CoV
23-07-2014,iran,MERS-CoV
11-06-2014,iran,MERS-CoV
02-07-2014,iran,MERS-CoV
13-06-2014,iran,MERS-CoV
28-09-2015,iraq,Cholera
26-11-2015,iraq,Cholera
12-10-2015,iraq,Cholera
02-06-2013,italy,MERS-CoV
13-05-2015,italy,Ebola virus disease
01-06-2013,italy,MERS-CoV
20-09-2013,italy,MERS-CoV
06-06-2013,ivory_coast,Meningococcal disease
05-01-2015,jordan,MERS-CoV
05-05-2014,jordan,MERS-CoV
07-05-2014,jordan,MERS-CoV
06-09-2015,jordan,MERS-CoV
24-04-2014,jordan,MERS-CoV
04-06-2014,jordan,MERS-CoV
18-09-2015,jordan,MERS-CoV
11-04-2014,jordan,MERS-CoV
01-09-2015,jordan,MERS-CoV
15-05-2014,jordan,MERS-CoV
28-05-2014,jordan,MERS-CoV
01-10-2015,jordan,MERS-CoV
06-04-2016,kenya,Yellow fever
30-06-2015,korea,MERS-CoV
21-07-2015,korea,MERS-CoV
16-11-2015,korea,Acute respiratory syndrome
06-06-2015,korea,MERS-CoV
01-06-2015,korea,MERS-CoV
24-05-2015,korea,MERS-CoV
14-07-2015,korea,MERS-CoV
10-07-2015,korea,MERS-CoV
31-05-2015,korea,MERS-CoV
05-06-2015,korea,MERS-CoV
23-06-2015,korea,MERS-CoV
25-10-2015,korea,MERS-CoV
09-06-2015,korea,MERS-CoV
07-07-2015,korea,MERS-CoV
03-07-2015,korea,MERS-CoV
04-06-2015,korea,MERS-CoV
17-07-2015,korea,MERS-CoV
19-06-2015,korea,MERS-CoV
12-06-2015,korea,MERS-CoV
16-06-2015,korea,MERS-CoV
08-06-2015,korea,MERS-CoV
30-05-2015,korea,MERS-CoV
26-06-2015,korea,MERS-CoV
18-11-2013,kuwait,MERS-CoV
20-03-2014,kuwait,MERS-CoV
15-05-2014,lebanon,MERS-CoV
28-08-2014,liberia,Ebola virus disease
22-08-2014,liberia,Ebola virus disease
06-05-2014,liberia,Ebola virus disease
15-07-2014,liberia,Ebola virus disease
06-08-2014,liberia,Ebola virus disease
03-04-2014,liberia,Ebola virus disease
01-07-2014,liberia,Ebola virus disease
13-08-2014,liberia,Ebola virus disease
10-04-2014,liberia,Ebola virus disease
19-07-2014,liberia,Ebola virus disease
31-07-2014,liberia,Ebola virus disease
25-04-2014,liberia,Ebola virus disease
11-08-2014,liberia,Ebola virus disease
12-05-2014,liberia,Ebola virus disease
28-05-2014,liberia,Ebola virus disease
20-08-2014,liberia,Ebola virus disease
24-05-2014,liberia,Ebola virus disease
08-08-2014,liberia,Ebola virus disease
30-03-2014,liberia,Ebola virus disease
04-09-2014,liberia,Ebola virus disease
04-08-2014,liberia,Ebola virus disease
17-07-2014,liberia,Ebola virus disease
03-07-2014,liberia,Ebola virus disease
30-05-2014,liberia,Ebola virus disease
08-07-2014,liberia,Ebola virus disease
02-04-2014,liberia,Ebola virus disease
18-05-2016,liberia,Lassa fever
08-05-2014,liberia,Ebola virus disease
05-04-2014,liberia,Ebola virus disease
24-07-2014,liberia,Ebola virus disease
06-06-2014,liberia,Ebola virus disease
10-06-2014,liberia,Ebola virus disease
02-05-2014,liberia,Ebola virus disease
09-05-2014,liberia,Ebola virus disease
19-04-2014,liberia,Ebola virus disease
14-04-2014,liberia,Ebola virus disease
15-05-2014,liberia,Ebola virus disease
10-07-2014,liberia,Ebola virus disease
22-04-2014,liberia,Ebola virus disease
24-06-2014,liberia,Ebola virus disease
22-06-2014,liberia,Ebola virus disease
07-04-2014,liberia,Ebola virus disease
01-04-2014,liberia,Ebola virus disease
27-07-2014,liberia,Ebola virus disease
15-08-2014,liberia,Ebola virus disease
18-06-2014,liberia,Ebola virus disease
17-04-2014,liberia,Ebola virus disease
04-06-2014,liberia,Ebola virus disease
19-08-2014,liberia,Ebola virus disease
21-11-2014,madagascar,Plague
06-09-2015,madagascar,Plague
17-04-2014,malaysia,MERS-CoV
17-02-2014,malaysia,Avian influenza
07-04-2014,mali,Ebola virus disease
10-04-2014,mali,Ebola virus disease
31-10-2014,mali,Ebola virus disease
14-04-2014,mali,Ebola virus disease
17-04-2014,mali,Ebola virus disease
13-11-2013,mexico,Cholera
19-10-2013,mexico,Cholera
28-10-2013,mexico,Cholera
03-12-2015,mexico,Zika virus infection
25-11-2013,mexico,Cholera
13-02-2015,mexico,Measles
04-03-2016,netherlands,Zika virus infection
22-02-2016,netherlands,Zika virus infection
08-02-2016,netherlands,Zika virus infection
16-05-2014,netherlands,MERS-CoV
15-05-2014,netherlands,MERS-CoV
29-09-2016,niger,Rift Valley fever
23-07-2015,niger,Meningococcal disease
29-04-2015,niger,Meningococcal disease
24-11-2016,niger,Rift Valley fever
15-05-2015,niger,Meningococcal disease
19-08-2014,nigeria,Ebola virus disease
13-08-2014,nigeria,Ebola virus disease
06-08-2014,nigeria,Ebola virus disease
11-08-2014,nigeria,Ebola virus disease
22-08-2014,nigeria,Ebola virus disease
20-08-2014,nigeria,Ebola virus disease
31-07-2014,nigeria,Ebola virus disease
27-01-2016,nigeria,Lassa fever
08-08-2014,nigeria,Ebola virus disease
04-08-2014,nigeria,Ebola virus disease
13-03-2015,nigeria,Meningococcal disease
27-05-2016,nigeria,Lassa fever
15-08-2014,nigeria,Ebola virus disease
28-08-2014,nigeria,Ebola virus disease
04-09-2014,nigeria,Ebola virus disease
07-01-2016,oman,MERS-CoV
23-01-2015,oman,MERS-CoV
08-12-2016,oman,MERS-CoV
04-11-2013,oman,MERS-CoV
09-01-2014,oman,MERS-CoV
31-10-2013,oman,MERS-CoV
27-01-2014,oman,MERS-CoV
04-06-2015,oman,MERS-CoV
16-01-2015,oman,MERS-CoV
22-12-2015,panama,Zika virus infection
29-03-2016,panama,Microcephaly
05-12-2015,panama,Zika virus infection
03-12-2015,paraguay,Zika virus infection
21-04-2016,peru,Zika virus infection
03-06-2016,peru,Oropouche virus disease
08-07-2015,philippines,MERS-CoV
13-02-2015,philippines,MERS-CoV
10-07-2015,philippines,MERS-CoV
24-05-2015,qatar,MERS-CoV
18-10-2013,qatar,MERS-CoV
06-09-2013,qatar,MERS-CoV
10-03-2016,qatar,MERS-CoV
29-10-2013,qatar,MERS-CoV
11-03-2015,qatar,MERS-CoV
16-05-2016,qatar,MERS-CoV
10-11-2013,qatar,MERS-CoV
31-10-2014,qatar,MERS-CoV
11-02-2015,qatar,MERS-CoV
31-05-2015,qatar,MERS-CoV
15-11-2013,qatar,MERS-CoV
29-06-2016,qatar,MERS-CoV
29-08-2013,qatar,MERS-CoV
29-11-2013,qatar,MERS-CoV
26-06-2013,saudi_arabia,MERS-CoV
26-01-2016,saudi_arabia,MERS-CoV
05-12-2016,saudi_arabia,MERS-CoV
15-01-2015,saudi_arabia,MERS-CoV
03-02-2015,saudi_arabia,MERS-CoV
11-06-2015,saudi_arabia,MERS-CoV
29-07-2013,saudi_arabia,MERS-CoV
20-04-2014,saudi_arabia,MERS-CoV
23-02-2015,saudi_arabia,MERS-CoV
11-11-2016,saudi_arabia,MERS-CoV
21-09-2016,saudi_arabia,MERS-CoV
26-12-2014,saudi_arabia,MERS-CoV
14-06-2013,saudi_arabia,MERS-CoV
29-07-2015,saudi_arabia,MERS-CoV
23-07-2014,saudi_arabia,MERS-CoV
21-07-2013,saudi_arabia,MERS-CoV
29-02-2016,saudi_arabia,MERS-CoV
05-07-2013,saudi_arabia,MERS-CoV
16-05-2016,saudi_arabia,MERS-CoV
03-11-2014,saudi_arabia,MERS-CoV
02-02-2016,saudi_arabia,MERS-CoV
15-06-2013,saudi_arabia,MERS-CoV
17-09-2015,saudi_arabia,MERS-CoV
10-04-2014,saudi_arabia,MERS-CoV
17-06-2013,saudi_arabia,MERS-CoV
21-11-2014,saudi_arabia,MERS-CoV
24-05-2015,saudi_arabia,MERS-CoV
12-10-2015,saudi_arabia,MERS-CoV
