,S,I,R
1,9.99999E-01,1.00000E-06,0.00000E+00
2,9.99996E-01,3.96828E-06,3.30813E-07
3,9.99984E-01,1.43389E-05,1.48662E-06
4,9.99941E-01,5.28041E-05,5.77374E-06
5,9.99786E-01,1.92686E-04,2.13659E-05
6,9.99223E-01,6.99082E-04,7.78350E-05
7,9.97203E-01,2.51643E-03,2.80783E-04
8,9.89991E-01,9.00075E-03,1.00866E-03
9,9.64894E-01,3.15228E-02,3.58350E-03
10,8.84622E-01,1.03084E-01,1.22934E-02
11,6.84016E-01,2.77903E-01,3.80820E-02
12,3.87202E-01,5.17657E-01,9.51411E-02
13,1.64947E-01,6.54346E-01,1.80708E-01
14,6.39389E-02,6.60327E-01,2.75735E-01
15,2.58227E-02,6.07528E-01,3.66650E-01
16,1.13979E-02,5.39945E-01,4.48657E-01
17,5.54067E-03,4.73468E-01,5.20991E-01
18,2.94935E-03,4.12831E-01,5.84220E-01
19,1.70347E-03,3.59025E-01,6.39272E-01
20,1.05715E-03,3.11827E-01,6.87116E-01
21,6.98663E-04,2.70647E-01,7.28654E-01
22,4.87787E-04,2.34813E-01,7.64699E-01
23,3.57125E-04,2.03675E-01,7.95968E-01
24,2.72503E-04,1.76639E-01,8.23089E-01
25,2.15557E-04,1.53177E-01,8.46608E-01
26,1.75897E-04,1.32822E-01,8.67002E-01
27,1.47419E-04,1.15166E-01,8.84686E-01
28,1.26498E-04,9.98542E-02,9.00019E-01
29,1.10782E-04,8.65756E-02,9.13314E-01
30,9.87460E-05,7.50613E-02,9.24840E-01
31,8.93757E-05,6.50774E-02,9.34833E-01
32,8.19752E-05,5.64208E-02,9.43497E-01
33,7.60573E-05,4.89152E-02,9.51009E-01
34,7.12739E-05,4.24078E-02,9.57521E-01
35,6.73714E-05,3.67659E-02,9.63167E-01
36,6.41623E-05,3.18745E-02,9.68061E-01
37,6.15041E-05,2.76337E-02,9.72305E-01
38,5.92886E-05,2.39570E-02,9.75984E-01
39,5.74325E-05,2.07695E-02,9.79173E-01
40,5.58705E-05,1.80060E-02,9.81938E-01
41,5.45507E-05,1.56102E-02,9.84335E-01
42,5.34318E-05,1.35331E-02,9.86413E-01
43,5.24804E-05,1.17324E-02,9.88215E-01
44,5.16692E-05,1.01713E-02,9.89777E-01
45,5.09762E-05,8.81791E-03,9.91131E-01
46,5.03829E-05,7.64458E-03,9.92305E-01
47,4.98741E-05,6.62737E-03,9.93323E-01
48,4.94372E-05,5.74551E-03,9.94205E-01
49,4.90615E-05,4.98099E-03,9.94970E-01
50,4.87382E-05,4.31820E-03,9.95633E-01
51,4.84595E-05,3.74360E-03,9.96208E-01
52,4.82193E-05,3.24546E-03,9.96706E-01
53,4.80120E-05,2.81360E-03,9.97138E-01
54,4.78330E-05,2.43921E-03,9.97513E-01
55,4.76783E-05,2.11464E-03,9.97838E-01
56,4.75446E-05,1.83325E-03,9.98119E-01
57,4.74291E-05,1.58931E-03,9.98363E-01
58,4.73291E-05,1.37783E-03,9.98575E-01
59,4.72426E-05,1.19448E-03,9.98758E-01
60,4.71677E-05,1.03554E-03,9.98917E-01
61,4.71029E-05,8.97741E-04,9.99055E-01
62,4.70468E-05,7.78280E-04,9.99175E-01
63,4.69982E-05,6.74716E-04,9.99278E-01
64,4.69561E-05,5.84933E-04,9.99368E-01
65,4.69197E-05,5.07097E-04,9.99446E-01
66,4.68881E-05,4.39619E-04,9.99514E-01
67,4.68607E-05,3.81120E-04,9.99572E-01
68,4.68370E-05,3.30405E-04,9.99623E-01
69,4.68165E-05,2.86439E-04,9.99667E-01
70,4.67987E-05,2.48323E-04,9.99705E-01
71,4.67833E-05,2.15279E-04,9.99738E-01
