, country code,   count,
,null,94711365,
, USA,37817235,
, GBR, 5810089,
, CHN, 3668193,
, RUS, 3559744,
, AUS, 2968444,
, CAN, 2849659,
, FRA, 2373983,
, ISR, 2341638,
, NGA, 2253400,
, PAK, 2175243,
, IND, 2114047,
, TUR, 2043542,
, SYR, 1998633,
, DEU, 1907530,
, IRN, 1904601,
, EUR, 1671134,
, AFR, 1582716,
, JPN, 1478048,
, PHL, 1398461,
, SAU, 1257597,
, AFG, 1219530,
, IRQ, 1170326,
, ITA, 1021508,
, IRL, 1005292,
, EGY, 1000378,
, KOR,  865958,
, MEX,  857997,
, MYS,  830549,
, PSE,  813470,
, GRC,  740534,
, ESP,  721531,
, UKR,  704552,
, PRK,  698670,
, IDN,  675126,
, KEN,  638872,
, NZL,  622993,
, BGD,  609181,
, VNM,  606757,
, JOR,  565338,
, ZAF,  558483,
, BEL,  547687,
, CHE,  542490,
, NLD,  502018,
, THA,  488941,
, CUB,  463544,
, GHA,  460953,
, ARE,  450901,
, LBN,  449415,
, POL,  431210,
, YEM,  409172,
, BRA,  404327,
, ZWE,  402023,
, LKA,  396298,
, QAT,  370330,
, SGP,  362970,
, UGA,  354211,
, MMR,  349180,
, ARM,  347198,
, SOM,  335899,
, LBY,  328529,
, SWE,  327925,
, AZE,  319453,
, SDN,  302441,
, TWN,  284088,
, NPL,  283402,
, AUT,  274315,
, NOR,  272911,
, DNK,  246193,
, COL,  244092,
, MDV,  240754,
, VEN,  236803,
, ETH,  233981,
, SEA,  233712,
, HUN,  221911,
, ARG,  214503,
, KHM,  214502,
, WST,  214241,
, JAM,  203202,
, BLR,  191955,
, BGR,  191339,
, PER,  183733,
, SSD,  183223,
, KWT,  177267,
, TZA,  176447,
, FIN,  174691,
, CHL,  170488,
, MAR,  169311,
, CZE,  169032,
, BHR,  166576,
, ZMB,  162864,
, PRT,  157076,
, TUN,  153699,
, VAT,  152173,
, KAZ,  150949,
, RWA,  149184,
, NMR,  147142,
, CYP,  135092,
, PAN,  128855,
, FJI,  127114,
, TCD,  126137,
, LBR,  125456,
, MLT,  122246,
, HTI,  122197,
, OMN,  121570,
, BHS,  119743,
, GUY,  117019,
, DZA,  115828,
, MCO,  112885,
, MWI,  111643,
, ECU,  107477,
, HRV,  104086,
, SRB,  101070,
, TTO,  100475,
, CMR,   98937,
, GMB,   95809,
, NER,   94110,
, NAM,   93751,
, KGZ,   93043,
, UZB,   91776,
, MKD,   90147,
, BRN,   89286,
, LTU,   88955,
, LUX,   86222,
, TJK,   84786,
, LVA,   83015,
, ALB,   82619,
, EST,   82167,
, GTM,   81957,
, BDI,   81781,
, MLI,   81263,
, COD,   80568,
, BOL,   75843,
, BWA,   75817,
, AGO,   74362,
, BLZ,   72950,
, SLE,   72550,
, LAO,   71845,
, SLV,   70632,
, SVK,   70611,
, MOZ,   67708,
, SAS,   65793,
, TKM,   63106,
, PNG,   63057,
, HND,   61195,
, SEN,   59867,
, ISL,   59823,
, CRI,   58158,
, DOM,   58049,
, MDA,   52527,
, COG,   51335,
, BRB,   50262,
, MNG,   49751,
, NIC,   48561,
, DJI,   47537,
, ERI,   47523,
, BTN,   47241,
, CIV,   44105,
, BEN,   43587,
, CAF,   42833,
, BMU,   42218,
, GIN,   41519,
, BFA,   39723,
, MUS,   35279,
, URY,   33932,
, GRD,   33484,
, WSM,   32187,
, LCA,   31736,
, LSO,   28428,
, CYM,   27318,
, PRY,   27219,
, VCT,   26426,
, MEA,   26411,
, SYC,   25470,
, MDG,   24153,
, SWZ,   23598,
, PGS,   23098,
, MRT,   22318,
, ATG,   20926,
, KNA,   20552,
, SLB,   18772,
, WAF,   18508,
, VUT,   18360,
, GAB,   17724,
, NRU,   17186,
, TON,   17088,
, TGO,   16775,
, HKG,   14527,
, SAF,   13463,
, GNQ,   13145,
, ASA,   12909,
, DMA,   12807,
, TMP,   12670,
, MHL,   12124,
, COK,   10468,
, KIR,    8844,
, SUR,    7811,
, GNB,    7447,
, PLW,    7435,
, FSM,    6551,

