DATE,COUNTRY,COUNT,
15-Mar-18, Oman," 2144  of MERS-CoV, including at least 750 , have been reported to WHO",
07-Jul-15, Republic of Korea," since September 2012, WHO has been notified of 1,367  of infection with MERS-CoV, including at least 487 ",
03-Jul-15, Republic of Korea,"  since September 2012, WHO has been notified of 1,365  of infection with MERS-CoV, including at least 487 ",
03-Jul-15, Saudi Arabia," since September 2012, WHO has been notified of 1,363  of infection with MERS-CoV, including at least 487 ",
30-Jun-15, Republic of Korea," since September 2012, WHO has been notified of 1,357  of infection with MERS-CoV, including at least 486 ",
26-Jun-15, Republic of Korea," since September 2012, WHO has been notified of 1,356  of infection with MERS-CoV, including at least 484 ",
26-Jun-15, United Arab Emirates," WHO has been notified of 1,350  of infection with MERS-CoV, including at least 480 ",
23-Jun-15, Republic of Korea,"since September 2012, WHO has been notified of 1,348  of infection with MERS-CoV, including at least 479 ",
23-Jun-15, Saudi Arabia,"since September 2012, WHO has been notified of 1,339   of infection with MERS-CoV, including at least 476 ",
20-Jun-15, Thailand,"since September 2012, WHO has been notified of 1,334  of infection with MERS-CoV, including at least 471 ",
19-Jun-15, Republic of Korea," since September 2012, WHO has been notified of 1,333  of infection with MERS-CoV, including at least 471 ",
16-Jun-15, Republic of Korea,"  since September 2012, WHO has been notified of 1,321  of infection with MERS-CoV, including at least 466 ",
16-Jun-15, Saudi Arabia," since September 2012, WHO has been notified of 1292  of infection with MERS-CoV, including at least 458 ",
16-Jun-15, United Arab Emirates,"  WHO has been notified of 1293  of infection with MERS-CoV, including at least 458 ",
12-Jun-15, Republic of Korea,"  since September 2012, WHO has been notified of 1289  of infection with MERS-CoV, including at least 455 ",
11-Jun-15, Saudi Arabia,"  since September 2012, WHO has been notified of 1227  of infection with MERS-CoV, including at least 449 ",
09-Jun-15, United Arab Emirates,"  WHO has been notified of 1219  of infection with MERS-CoV, including at least 449 ",
09-Jun-15, Republic of Korea,"  since September 2012, WHO has been notified of 1218  of infection with MERS-CoV, including at least 449 ",
08-Jun-15, Republic of Korea,"  since September 2012, WHO has been notified of 1204  of infection with MERS-CoV, including at least 448 ",
06-Jun-15, Republic of Korea,"  since September 2012, WHO has been notified of 1190  of infection with MERS-CoV, including at least 444 ",
06-Jun-15, Saudi Arabia,"  since September 2012, WHO has been notified of 1195  of infection with MERS-CoV, including at least 448 ",
05-Jun-15, Republic of Korea,"  since September 2012, WHO has been notified of 1185  of infection with MERS-CoV, including at least 443 ",
04-Jun-15, Republic of Korea,"  since September 2012, WHO has been notified of 1179  of infection with MERS-CoV, including at least 442 ",
04-Jun-15, Saudi Arabia,"  since September 2012, WHO has been notified of 1164  of infection with MERS-CoV, including at least 440 ",
04-Jun-15, Oman," since September 2012, WHO has been notified of 1155  of infection with MERS-CoV, including at least 434 ",
01-Jun-15, Republic of Korea,"  WHO has been notified of 1154  of infection with MERS-CoV, including at least 431 ",
01-Jun-15, Saudi Arabia,"  WHO has been notified of 1152  of infection with MERS-CoV, including at least 434 ",
31-May-15, Qatar," WHO has been notified of 1150  of infection with MERS-CoV, including at least 427 ",
31-May-15, Republic of Korea," WHO has been notified of 1149  of infection with MERS-CoV, including at least 431 ",
30-May-15, China,"WHO has been notified of 1148  of infection with MERS-CoV, including at least 431 ",
30-May-15, Republic of Korea," WHO has been notified of 1147  of infection with MERS-CoV, including at least 431 ",
28-Aug-17, United Arab Emirates, 2067  of infection with MERS-CoV including at least 720  have been reported to WHO,
25-May-15, Saudi Arabia,"  WHO has been notified of 1139  of infection with MERS-CoV, including at least 431 ",
24-May-15, United Arab Emirates,"  WHO has been notified of 1135  of infection with MERS-CoV, including at least 427 ",
24-May-15, Republic of Korea," WHO has been notified of 1134  of infection with MERS-CoV, including at least 427 ",
24-May-15, Qatar," WHO has been notified of 1131  of infection with MERS-CoV, including at least 427 ",
24-May-15, Saudi Arabia,"  WHO has been notified of 1130  of infection with MERS-CoV, including at least 427 ",
18-May-15, United Arab Emirates," WHO has been notified of 1118  of infection with MERS-CoV, including at least 423 ",
17-May-15, Saudi Arabia," WHO has been notified of 1116  of infection with MERS-CoV, including at least 423 ",
08-May-15, Iran," WHO has been notified of 1112  of infection with MERS-CoV, including at least 422 ",
08-May-15, Saudi Arabia," WHO has been notified of 1111  of infection with MERS-CoV, including at least 422 ",
29-Apr-15, Saudi Arabia," WHO has been notified of 1110  of infection with MERS-CoV, including at least 422 ",
17-Aug-17, Saudi Arabia,  2066  of infection with MERS-CoV including at least 720  have been reported to WHO,
16-Apr-15, Saudi Arabia," WHO has been notified of 1106  of infection with MERS-CoV, including at least 421 ",
09-Apr-15, Saudi Arabia," WHO has been notified of 1102  of infection with MERS-CoV, including at least 416 ",
26-Mar-15, Saudi Arabia," WHO has been notified of 1090  of infection with MERS-CoV, including at least 412 ",
20-Mar-15, Saudi Arabia," WHO has been notified of 1075  of infection with MERS-CoV, including at least 404 ",
11-Mar-15, Qatar," WHO has been notified of 1060  of infection with MERS-CoV, including at least 394 ",
11-Mar-15, Saudi Arabia," WHO has been notified of 1059  of infection with MERS-CoV, including at least 394 ",
09-Mar-15, Germany,"  WHO has been notified of 1041  of infection with MERS-CoV, including at least 383 ",
06-Mar-15, Saudi Arabia," WHO has been notified of 1040  of infection with MERS-CoV, including at least 383 ",
26-Feb-15, Saudi Arabia," WHO has been notified of 1030  of infection with MERS-CoV, including at least 381 ",
23-Feb-15, Saudi Arabia," WHO has been notified of 1026  of infection with MERS-CoV, including at least 376 ",
06-Jul-17, Saudi Arabia,2040  of infection with MERS-CoV including at least 712  have been reported to WHO,
16-Feb-15, Saudi Arabia,"WHO has been notified of 983  of infection with MERS-CoV, including at least 360 ",
13-Feb-15, The Philippines,"WHO has been notified of 978  of infection with MERS-CoV, including at least 359",
11-Feb-15, Saudi Arabia,"WHO has been notified of 975  of infection with MERS-CoV, including at least 358 ",
11-Feb-15, Qatar,"WHO has been notified of 976  of infection with MERS-CoV, including at least 358 ",
11-Feb-15, United Arab Emirates,"WHO has been notified of 977  of infection with MERS-CoV, including at least 359 ",
03-Feb-15, Saudi Arabia,"WHO has been notified of 965  of infection with MERS-CoV, including at least 357 ",
23-Jan-15, Oman,"WHO has been notified of 956  of infection with MERS-CoV, including at least 351 ",
20-Jan-15, Saudi Arabia,"WHO has been notified of 955  of infection with MERS-CoV, including at least 351 ",
16-Jan-15, Oman,"WHO has been notified of 950  of infection with MERS-CoV, including at least 350 ",
15-Jan-15, Saudi Arabia,"WHO has been notified of 948  of infection with MERS-CoV, including at least 349 ",
04-Jul-17, Lebanon, 2037  of infection with MERS-CoV including at least 710  have been reported to WHO,
05-Jan-15, Jordan," the WHO has been notified of 945  of infection with MERS-CoV, including at least 348 ",
05-Jan-15, Saudi Arabia," the WHO has been notified of 944  of infection with MERS-CoV, including at least 348 ",
