DATE,CASES,DEATHS
14-05-13,4,0
15-05-13,2,0
18-05-13,2,0
22-05-13,1,2
23-05-13,1,0
23-05-13,4,0
29-05-13,1,8
31-05-13,1,0
01-06-13,2,0
02-06-13,1,0
05-06-13,1,1
07-06-13,3,1
14-06-13,3,1
15-06-13,3,0
17-06-13,4,0
22-06-13,2,1
23-06-13,7,1
26-06-13,2,2
05-07-13,1,7
07-07-13,1,1
11-07-13,1,0
13-07-13,6,0
18-07-13,2,0
19-07-13,1,0
21-07-13,0,1
29-07-13,3,0
01-08-13,8,0
28-08-13,2,0
29-08-13,4,0
30-08-13,2,0
06-09-13,4,0
07-09-13,16,3
19-09-13,0,9
20-09-13,6,0
04-10-13,2,0
14-10-13,1,0
18-10-13,5,0
24-10-13,1,4
29-10-13,4,0
31-10-13,1,0
31-10-13,0,2
04-11-13,1,0
07-11-13,0,0
10-11-13,2,0
11-11-13,2,0
15-11-13,2,2
18-11-13,3,0
26-11-13,0,2
29-11-13,3,0
02-12-13,2,0
17-12-13,1,3
22-12-13,4,0
27-12-13,6,3
31-12-13,1,0
03-01-14,3,1
27-01-14,0,2
27-01-14,1,2
04-02-14,1,0
07-02-14,2,0
28-02-14,2,0
11-03-14,3,0
12-03-14,2,0
17-03-14,5,1
18-03-14,3,4
25-03-14,1,1
26-03-14,6,0
27-03-14,1,0
10-04-14,16,0
14-04-14,8,0
16-04-14,5,0
17-04-14,14,8
20-04-14,4,0
23-04-14,0,0
24-04-14,7,0
26-04-14,0,0
01-05-14,235,0
07-05-14,75,78
14-05-14,1,2
15-05-14,42,8
16-05-14,18,12
22-05-14,3,0
23-05-14,1,0
28-05-14,45,11
04-06-14,2,0
11-06-14,1,0
13-06-14,2,0
14-06-14,15,45
16-06-14,2,1
25-06-14,117,36
26-06-14,4,0
02-07-14,3,1
04-07-14,7,1
14-07-14,2,0
14-07-14,1,3
23-07-14,16,10
02-10-14,1,0
16-10-14,29,18
24-10-14,2,0
31-10-14,12,6
03-11-14,12,6
07-11-14,0,0
21-11-14,18,7
02-12-14,11,5
17-12-14,3,4
26-12-14,4,1
05-01-15,-1,0
05-01-15,4,1
15-01-15,2,1
16-01-15,5,1
20-01-15,1,0
23-01-15,9,6
03-02-15,10,1
11-02-15,1,0
11-02-15,1,1
11-02-15,1,0
13-02-15,5,1
16-02-15,43,16
23-02-15,4,5
26-02-15,10,2
06-03-15,1,0
09-03-15,19,11
11-03-15,-1,0
11-03-15,16,10
20-03-15,15,8
26-03-15,12,4
09-04-15,4,5
16-04-15,4,1
29-04-15,2,0
08-05-15,-1,0
08-05-15,5,1
17-05-15,2,0
18-05-15,17,4
24-05-15,-1,0
24-05-15,-3,0
24-05-15,-1,0
24-05-15,9,0
25-05-15,9,4
30-05-15,-1,0
30-05-15,3,0
31-05-15,-1,0
31-05-15,5,0
01-06-15,-2,3
01-06-15,3,0
04-06-15,9,6
04-06-15,15,2
04-06-15,6,1
05-06-15,5,1
06-06-15,5,4
06-06-15,9,0
08-06-15,15,1
09-06-15,-1,0
09-06-15,9,0
11-06-15,62,6
12-06-15,3,3
16-06-15,1,0
16-06-15,28,8
16-06-15,12,5
19-06-15,1,0
20-06-15,5,5
23-06-15,0,3
23-06-15,11,1
26-06-15,6,4
26-06-15,1,2
30-06-15,8,1
03-07-15,-2,0
03-07-15,4,0
07-07-15,1,0
08-07-15,0,0
10-07-15,0,2
10-07-15,0,0
10-07-15,0,1
14-07-15,0,0
17-07-15,0,0
21-07-15,6,0
24-07-15,8,3
29-07-15,2,2
06-08-15,17,5
12-08-15,12,2
18-08-15,19,5
21-08-15,29,7
26-08-15,13,1
27-08-15,4,1
01-09-15,15,11
02-09-15,2,1
06-09-15,22,11
08-09-15,25,5
09-09-15,22,7
17-09-15,5,3
18-09-15,1,1
23-09-15,13,11
27-09-15,6,1
30-09-15,4,1
01-10-15,1,0
12-10-15,0,3
12-10-15,5,3
22-10-15,0,0
25-10-15,12,1
29-10-15,7,4
13-11-15,3,5
04-12-15,4,2
04-01-16,1,0
07-01-16,4,0
26-01-16,2,1
26-01-16,1,0
29-01-16,5,0
02-02-16,6,3
29-02-16,7,0
10-03-16,1,1
10-03-16,25,6
14-03-16,7,3
16-03-16,6,3
18-03-16,4,2
21-03-16,4,4
23-03-16,16,9
14-04-16,10,5
22-04-16,1,1
25-04-16,3,0
26-04-16,1,0
16-05-16,4,4
16-05-16,6,1
19-06-16,23,0
21-06-16,-1,0
21-06-16,7,1
22-06-16,1,0
29-06-16,13,4
06-07-16,9,6
25-07-16,9,3
16-09-16,6,0
21-09-16,7,2
31-10-16,13,4
11-11-16,6,2
28-11-16,9,1
05-12-16,1,0
08-12-16,12,2
19-12-16,10,5
19-12-16,151,44
13-06-17,22,7
04-07-17,3,2
06-07-17,26,8
17-08-17,1,0
28-08-17,77,30
15-03-18,,
