Timestamp,RSS,SIR Values,Normalized SIR,True Values,Normalized True,,,,,,
25-04-16,9.60660E-01,1.00700E-07,1.0000000E+00,3,0.01986755,,,,,,
26-04-16,9.86798E-01,6.08427E-07,9.9999944E-01,1,0.006622517,,,,,,
16-05-16,9.22104E-01,2.44199E-06,9.9999740E-01,6,0.039735099,,,,,,
16-05-16,9.47702E-01,8.98932E-06,9.9999012E-01,4,0.026490066,,,,,,
19-06-16,7.18503E-01,3.30990E-05,9.9996332E-01,23,0.152317881,,,,,,
21-06-16,9.09177E-01,1.21044E-04,9.9986558E-01,7,0.046357616,,,,,,
21-06-16,9.85827E-01,4.40482E-04,9.9951052E-01,1,0.006622517,,,,,,
22-06-16,9.83293E-01,1.58905E-03,9.9823379E-01,1,0.006622517,,,,,,
29-06-16,8.23679E-01,5.70185E-03,9.9366054E-01,13,0.086092715,,,,,,
06-07-16,1.55410E-03,2.01806E-02,2.0180612E-02,9,0.059602649,,,,,,
25-07-16,7.51371E-05,6.82708E-02,6.8270817E-02,9,0.059602649,,,,,,
16-09-16,2.61184E-02,2.01347E-01,2.0134702E-01,6,0.039735099,,,,,,
21-09-16,1.51051E-01,4.35010E-01,4.3501044E-01,7,0.046357616,,,,,,
31-10-16,2.88522E-01,6.23235E-01,6.2323516E-01,13,0.086092715,,,,,,
11-11-16,3.95385E-01,6.68531E-01,6.6853137E-01,6,0.039735099,,,,,,
28-11-16,3.24968E-01,6.29663E-01,6.2966256E-01,9,0.059602649,,,,,,
05-12-16,3.11298E-01,5.64564E-01,5.6456366E-01,1,0.006622517,,,,,,
08-12-16,1.74165E-01,4.96801E-01,4.9680105E-01,12,0.079470199,,,,,,
19-12-16,3.20538E-01,4.33839E-01,4.3383934E-01,151,1,,,,,,
19-12-16,9.69347E-02,3.77569E-01,3.7756854E-01,10,0.066225166,,,,,,
13-06-17,3.32552E-02,3.28055E-01,3.2805533E-01,22,0.145695364,,,,,,
04-07-17,7.01840E-02,2.84790E-01,2.8479023E-01,3,0.01986755,,,,,,
06-07-17,5.61405E-03,2.47112E-01,2.4711242E-01,26,0.17218543,,,,,,
17-08-17,4.31543E-02,2.14359E-01,2.1435872E-01,1,0.006622517,,,,,,
,,,,,,,,,,,
