Timestamp,RSS,SIR Values,Normalized SIR,True Values,Normalized True
17-04-14,8.84E-01,4.67E-07,1.00E+00,14,0.059574468
20-04-14,9.66E-01,1.85E-06,1.00E+00,4,0.017021277
23-04-14,1.00E+00,7.30E-06,1.00E+00,0,0
24-04-14,9.41E-01,2.64E-05,1.00E+00,7,0.029787234
26-04-14,1.00E+00,9.70E-05,1.00E+00,0,0
01-05-14,1.54E-07,3.53E-04,1.00E+00,235,1
07-05-14,4.62E-01,1.28E-03,9.99E-01,75,0.319148936
14-05-14,9.81E-01,4.58E-03,9.95E-01,1,0.004255319
15-05-14,6.45E-01,1.63E-02,9.82E-01,42,0.178723404
16-05-14,4.36E-04,5.57E-02,5.57E-02,18,0.076595745
22-05-14,2.47E-02,1.70E-01,1.70E-01,3,0.012765957
23-05-14,1.51E-01,3.92E-01,3.92E-01,1,0.004255319
28-05-14,1.68E-01,6.01E-01,6.01E-01,45,0.191489362
04-06-14,4.36E-01,6.69E-01,6.69E-01,2,0.008510638
11-06-14,4.03E-01,6.39E-01,6.39E-01,1,0.004255319
13-06-14,3.22E-01,5.76E-01,5.76E-01,2,0.008510638
14-06-14,1.97E-01,5.08E-01,5.08E-01,15,0.063829787
16-06-14,1.90E-01,4.44E-01,4.44E-01,2,0.008510638
25-06-14,1.23E-02,3.87E-01,3.87E-01,117,0.49787234
26-06-14,1.02E-01,3.36E-01,3.36E-01,4,0.017021277
02-07-14,7.79E-02,2.92E-01,2.92E-01,3,0.012765957
04-07-14,4.99E-02,2.53E-01,2.53E-01,7,0.029787234
14-07-14,4.46E-02,2.20E-01,2.20E-01,2,0.008510638
14-07-14,3.47E-02,1.91E-01,1.91E-01,1,0.004255319
