Timestamp,RSS,SIR Values,Normalized SIR,True Values,Normalized True,,,,,,,
03-07-15,8.67E-01,6.68E-08,1.00000E+00,2,0.068965517,,,,,,,
07-07-15,9.32E-01,4.04E-07,1.00000E+00,1,0.034482759,,,,,,,
08-07-15,1.00E+00,1.62E-06,9.99998E-01,0,0,,,,,,,
10-07-15,1.00E+00,5.96E-06,9.99993E-01,0,0,,,,,,,
10-07-15,1.00E+00,2.20E-05,9.99976E-01,0,0,,,,,,,
10-07-15,1.00E+00,8.07E-05,9.99910E-01,0,0,,,,,,,
14-07-15,9.99E-01,2.93E-04,9.99674E-01,0,0,,,,,,,
17-07-15,9.98E-01,1.06E-03,9.98820E-01,0,0,,,,,,,
21-07-15,6.22E-01,3.82E-03,9.95758E-01,6,0.206896552,,,,,,,
24-07-15,6.88E-02,1.36E-02,1.35873E-02,8,0.275862069,,,,,,,
29-07-15,4.87E-04,4.69E-02,4.69052E-02,2,0.068965517,,,,,,,
06-08-15,1.93E-01,1.47E-01,1.46724E-01,17,0.586206897,,,,,,,
12-08-15,3.26E-03,3.57E-01,3.56665E-01,12,0.413793103,,,,,,,
18-08-15,5.76E-03,5.79E-01,5.79250E-01,19,0.655172414,,,,,,,
21-08-15,1.11E-01,6.67E-01,6.67168E-01,29,1,,,,,,,
26-08-15,3.93E-02,6.47E-01,6.46637E-01,13,0.448275862,,,,,,,
27-08-15,2.01E-01,5.86E-01,5.86006E-01,4,0.137931034,,,,,,,
01-09-15,3.35E-07,5.18E-01,5.17820E-01,15,0.517241379,,,,,,,
02-09-15,1.47E-01,4.53E-01,4.52991E-01,2,0.068965517,,,,,,,
06-09-15,1.33E-01,3.95E-01,3.94556E-01,22,0.75862069,,,,,,,
08-09-15,2.69E-01,3.43E-01,3.42954E-01,25,0.862068966,,,,,,,
09-09-15,2.12E-01,2.98E-01,2.97788E-01,22,0.75862069,,,,,,,
17-09-15,7.40E-03,2.58E-01,2.58423E-01,5,0.172413793,,,,,,,
18-09-15,3.60E-02,2.24E-01,2.24187E-01,1,0.034482759,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
