Country UN Code,Country UN Code
Afghanistan AFG,Afghanistan
Aland Islands ALA,Aland Islands
Albania ALB,Albania
Algeria DZA,Algeria
American Samoa ASM,American Samoa
Andorra AND,Andorra
Angola AGO,Angola
Anguilla AIA,Anguilla
Antigua and Barbuda ATG,Antigua and Barbuda
Argentina ARG,Argentina
Armenia ARM,Armenia
Aruba ABW,Aruba
Australia AUS,Australia
Austria AUT,Austria
Azerbaijan AZE,Azerbaijan
Bahamas BHS,Bahamas
Bahrain BHR,Bahrain
Bangladesh BGD,Bangladesh
Barbados BRB,Barbados
Belarus BLR,Belarus
Belgium BEL,Belgium
Belize BLZ,Belize
Benin BEN,Benin
Bermuda BMU,Bermuda
Bhutan BTN,Bhutan
Bolivia BOL,Bolivia
Bosnia and Herzegovina BIH,Bosnia and Herzegovina
Botswana BWA,Botswana
Brazil BRA,Brazil
British Virgin Islands VGB,British Virgin Islands
Brunei Darussalam BRN,Brunei Darussalam
Bulgaria BGR,Bulgaria
Burkina Faso BFA,Burkina Faso
Burundi BDI,Burundi
Cambodia KHM,Cambodia
Cameroon CMR,Cameroon
Canada CAN,Canada
Cape Verde CPV,Cape Verde
Cayman Islands CYM,Cayman Islands
Central African Republic CAF,Central African Republic
Chad TCD,Chad
Chile CHL,Chile
China CHN,China
Columbia COL,Columbia
Comoros COM,Comoros
Congo,Congo
Congo,Congo
Cook Islands COK,Cook Islands
Costa Rica CRI,Costa Rica
Cte d’Ivoire (Ivory Coast) CIV,Cte d’Ivoire (Ivory Coast)
Croatia HRV,Croatia
Cuba CUB,Cuba
Cyprus CYP,Cyprus
Czech Republic CZE,Czech Republic
Denmark DNK,Denmark
Djibouti DJI,Djibouti
Dominica DMA,Dominica
Dominican Republic DOM,Dominican Republic
East Timor (Timor-Leste) TMP,East Timor (Timor-Leste)
Ecuador ECU,Ecuador
Egypt EG,Egypt EG
Belarus BLR,Belarus
Belgium BEL,Belgium
Belize BLZ,Belize
Benin BEN,Benin
Bermuda BMU,Bermuda
Bhutan BTN,Bhutan
Bolivia BOL,Bolivia
Bosnia and Herzegovina BIH,Bosnia and Herzegovina
Botswana BWA,Botswana
Brazil BRA,Brazil
British Virgin Islands VGB,British Virgin Islands
Brunei Darussalam BRN,Brunei Darussalam
Bulgaria BGR,Bulgaria
Burkina Faso BFA,Burkina Faso
Burundi BDI,Burundi
Cambodia KHM,Cambodia
Cameroon CMR,Cameroon
Canada CAN,Canada
Cape Verde CPV,Cape Verde
Cayman Islands CYM,Cayman Islands
Central African Republic CAF,Central African Republic
Chad TCD,Chad
Chile CHL,Chile
China CHN,China
Columbia COL,Columbia
Comoros COM,Comoros
Congo,Congo
Congo,Congo
Cook Islands COK,Cook Islands
Costa Rica CRI,Costa Rica
Cte d’Ivoire (Ivory Coast) CIV,Cte d’Ivoire (Ivory Coast)
Croatia HRV,Croatia
Cuba CUB,Cuba
Cyprus CYP,Cyprus
Czech Republic CZE,Czech Republic
Denmark DNK,Denmark
Djibouti DJI,Djibouti
Dominica DMA,Dominica
Dominican Republic DOM,Dominican Republic
East Timor (Timor-Leste) TMP,East Timor (Timor-Leste)
Ecuador ECU,Ecuador
Egypt EG,Egypt EG
El Salvador SLV,El Salvador
Equatorial Guinea GNQ,Equatorial Guinea
Eritrea ERI,Eritrea
Estonia EST,Estonia
Ethiopia ETH,Ethiopia
Faeroe Islands FRO,Faeroe Islands
Falkland Islands (Malvinas) FLK,Falkland Islands (Malvinas)
Fiji FJI,Fiji
Finland FIN,Finland
France FRA,France
French Guiana GUF,French Guiana
French Polynesia PYF,French Polynesia
Gabon GAB,Gabon
Gambia GMB,Gambia
Georgia GEO,Georgia
Germany DEU,Germany
Ghana GHA,Ghana
Gibraltar GIB,Gibraltar
Greece GRC,Greece
Greenland GRL,Greenland
Grenada GRD,Grenada
Guadeloupe GLP,Guadeloupe
Guam GUM,Guam
Guatemala GTM,Guatemala
Guinea GIN,Guinea
Guinea-Bissau GNB,Guinea-Bissau
Guyana GUY,Guyana
Haiti HTI,Haiti
Holy See (Vatican City) VAT,Holy See (Vatican City)
Honduras HND,Honduras
Hong Kong Special Adm. Region of China HKG,Hong Kong Special Adm. Region of China
Hungary HUN,Hungary
Iceland ISL,Iceland
India IND,India
Indonesia IDN,Indonesia
Iran IRN,Iran
Iraq IRQ,Iraq
Ireland IRL,Ireland
Isle of Man IMY,Isle of Man
Israel ISR,Israel
Italy ITA,Italy
Jamaica JAM,Jamaica
Japan JPN,Japan
Jordan JOR,Jordan
Kazakhstan KAZ,Kazakhstan
Kenya KEN,Kenya
Kiribati KIR,Kiribati
Korea,Korea
Korea,Korea
Kuwait KWT,Kuwait
Kyrgyzstan KGZ,Kyrgyzstan
Laos LAO,Laos
Latvia LVA,Latvia
Lebanon LBN,Lebanon
Lesotho LSO,Lesotho
Liberia LBR,Liberia
Libya LBY,Libya
Liechtenstein LIE,Liechtenstein
Lithuania LTU,Lithuania
Luxembourg LUX,Luxembourg
Macao Special Adm. Region of China MAC,Macao Special Adm. Region of China
Macedonia MKD,Macedonia
Madagascar MDG,Madagascar
Malawi MWI,Malawi
Malaysia MYS,Malaysia
Maldives MDV,Maldives
Mali MLI,Mali
Malta MLT,Malta
Marshall Islands MHL,Marshall Islands
Martinique MTQ,Martinique
Mauritania MRT,Mauritania
Mauritius MUS,Mauritius
Mayotte MYT,Mayotte
Mexico MEX,Mexico
Micronesia FSM,Micronesia
Moldova MDA,Moldova
Monaco MCO,Monaco
Mongolia MNG,Mongolia
Montenegro MTN,Montenegro
Montserrat MSR,Montserrat
Morocco MAR,Morocco
Mozambique MOZ,Mozambique
Myanmar MMR,Myanmar
Namibia NAM,Namibia
Nauru NRU,Nauru
Nepal NPL,Nepal
Netherlands NLD,Netherlands
Netherlands Antilles ANT,Netherlands Antilles
New Caledonia NCL,New Caledonia
New Zealand NZL,New Zealand
Nicaragua NIC,Nicaragua
Niger NER,Niger
Nigeria NGA,Nigeria
Niue NIU,Niue
Norfolk Island NFK,Norfolk Island
Northern Mariana Islands MNP,Northern Mariana Islands
Norway NOR,Norway
Occupied Palestinian Territory PSE,Occupied Palestinian Territory
Oman OMN,Oman
Pakistan PAK,Pakistan
Palau PLW,Palau
Panama PAN,Panama
Papua New Guinea PNG,Papua New Guinea
Paraguay PRY,Paraguay
Peru PER,Peru
Philippines PHL,Philippines
Pitcairn PCN,Pitcairn
Poland POL,Poland
Portugal PRT,Portugal
Puerto Rico PRI,Puerto Rico
Qatar QAT,Qatar
Runion REU,Runion
Romania ROM,Romania
Russia RUS,Russia
Rwanda RWA,Rwanda
Saint Helena SHN,Saint Helena
Saint Kitts-Nevis KNA,Saint Kitts-Nevis
Saint Lucia LCA,Saint Lucia
Saint Pierre and Miquelon SPM,Saint Pierre and Miquelon
Saint Vincent and the Grenadines VCT,Saint Vincent and the Grenadines
Samoa WSM,Samoa
San Marino SMR,San Marino
Sao Tome and Principe STP,Sao Tome and Principe
Saudi Arabia SAU,Saudi Arabia
Senegal SEN,Senegal
Serbia SRB,Serbia
Seychelles SYC,Seychelles
Sierra Leone SLE,Sierra Leone
Singapore SGP,Singapore
Slovakia SVK,Slovakia
Slovenia SVN,Slovenia
Solomon Islands SLB,Solomon Islands
Somalia SOM,Somalia
South Africa ZAF,South Africa
Spain ESP,Spain
Sri Lanka LKA,Sri Lanka
Sudan SDN,Sudan
Suriname SUR,Suriname
Svalbard and Jan Mayen Islands SJM,Svalbard and Jan Mayen Islands
Swaziland SWZ,Swaziland
Sweden SWE,Sweden
Switzerland CHE,Switzerland
Syria SYR,Syria
Tajikistan TJK,Tajikistan
Tanzania TZA,Tanzania
Thailand THA,Thailand
Togo TGO,Togo
Tokelau TKL,Tokelau
Tonga TON,Tonga
Trinidad and Tobago TTO,Trinidad and Tobago
Tunisia TUN,Tunisia
Turkey TUR,Turkey
Turkmenistan TKM,Turkmenistan
Turks and Caicos Islands TCA,Turks and Caicos Islands
Tuvalu TUV,Tuvalu
Uganda UGA,Uganda
Ukraine UKR,Ukraine
