640,USA,United,States,of,America,01:31:16 AM,31:45:32,,
20,CAN,Canada,01:38:07 AM,31:45:32,,,,,
31,BHM,Bahamas,10:39:53 AM,31:45:32,,,,,
40,CUB,Cuba,08:36:42 PM,31:45:32,,,,,
41,HAI,Haiti,01:31:16 AM,04:38:55 AM,,,,,
41,HAI,Haiti,03:40:14 PM,31:45:32,,,,,
42,DOM,Dominican,Republic,27:32:44,31:45:32,,,,
51,JAM,Jamaica,06:40:42 AM,31:45:32,,,,,
52,TRI,Trinidad,and,Tobago,31:40:42,31:45:32,,,
53,BAR,Barbados,30:43:46,31:45:32,,,,,
70,MEX,Mexico,01:37:21 AM,31:45:32,,,,,
80,BLZ,Belize,09:42:01 PM,31:45:32,,,,,
89,UPC,United,Provinces,of,Central,America,01:37:23 AM,31:42:39,
90,GUA,Guatemala,01:31:40 AM,31:45:32,,,,,
91,HON,Honduras,01:31:40 AM,31:45:32,,,,,
92,SAL,El,Salvador,01:31:40 AM,31:45:32,,,,
93,NIC,Nicaragua,01:31:40 AM,31:45:32,,,,,
94,COS,Costa,Rica,01:31:40 AM,31:45:32,,,,
95,PAN,Panama,03:42:43 AM,31:45:32,,,,,
99,GCL,Great,Colombia,30:38:21,10:39:30 PM,,,,
100,COL,Colombia,11:39:30 PM,31:45:32,,,,,
101,VEN,Venezuela,01:31:29 AM,31:45:32,,,,,
110,GUY,Guyana,26:37:46,31:45:32,,,,,
115,SUR,Surinam,25:43:55,31:45:32,,,,,
130,ECU,Ecuador,01:35:30 PM,31:45:32,,,,,
135,PER,Peru,09:42:24 AM,31:45:32,,,,,
140,BRA,Brazil,07:39:22 AM,31:45:32,,,,,
145,BOL,Bolivia,06:38:25 AM,31:45:32,,,,,
150,PAR,Paraguay,01:31:16 AM,31:45:32,,,,,
155,CHL,Chile,01:34:18 AM,31:45:32,,,,,
160,ARG,Argentina,09:37:16 AM,31:45:32,,,,,
165,URU,Uruguay,26:35:30,31:45:32,,,,,
200,UKG,United,Kingdom,01:31:16 AM,31:45:32,,,,
205,IRE,Ireland,06:44:01 AM,31:45:32,,,,,
210,NTH,Netherlands,01:31:16 AM,31:45:32,,,,,
211,BEL,Belgium,04:40:30 AM,31:45:32,,,,,
212,LUX,Luxembourg,11:36:07 AM,31:45:32,,,,,
220,FRN,France,01:31:16 AM,31:45:32,,,,,
225,SWZ,Switzerland,01:31:16 AM,31:45:32,,,,,
230,SPN,Spain,01:31:16 AM,31:45:32,,,,,
235,POR,Portugal,01:31:16 AM,31:45:32,,,,,
240,HAN,Hanover,01:31:16 AM,05:32:11 PM,,,,,
245,BAV,Bavaria,01:31:16 AM,05:32:11 PM,,,,,
255,GMY,Germany,(Prussia),01:31:16 AM,07:37:25 AM,,,,
260,GFR,German,Federal,Republic,09:41:29 PM,31:45:32,,,
265,GDR,German,Democratic,Republic,05:42:29 AM,02:43:10 AM,,,
267,BAD,Baden,01:31:16 AM,05:32:11 PM,,,,,
269,SAX,Saxony,01:31:16 AM,05:32:11 PM,,,,,
271,WRT,Württemberg,01:31:16 AM,05:32:11 PM,,,,,
273,HSE,Hesse-Kassel,(Electoral),01:31:16 AM,05:32:11 PM,,,,
275,HSD,Hesse-Darmstadt,(Ducal),01:31:16 AM,05:32:11 PM,,,,
280,MEC,Mecklenburg-Schwerin,01:31:16 AM,05:32:11 PM,,,,,
290,POL,Poland,11:42:58 AM,31:45:32,,,,,
300,AUH,Austria-Hungary,01:31:16 AM,01:42:58 PM,,,,,
305,AUS,Austria,02:42:58 PM,31:45:32,,,,,
310,HUN,Hungary,03:42:58 AM,31:45:32,,,,,
315,CZE,Czechoslovakia,11:42:58 AM,31:45:12,,,,,
316,CZR,Czech,Republic,01:34:13 AM,31:45:32,,,,
317,SLO,Slovakia,01:34:13 AM,31:45:32,,,,,
325,ITA,Italy/Sardinia,01:31:16 AM,31:45:32,,,,,
327,PAP,Papal,States,01:31:16 AM,10:40:10 PM,,,,
329,SIC,Two,Sicilies,01:31:16 AM,04:34:01 PM,,,,
332,MOD,Modena,01:31:16 AM,04:34:01 PM,,,,,
335,PMA,Parma,01:31:16 AM,04:34:01 PM,,,,,
337,TUS,Tuscany,01:31:16 AM,04:34:01 PM,,,,,
338,MLT,Malta,09:41:44 PM,31:45:32,,,,,
339,ALB,Albania,01:32:53 AM,31:45:32,,,,,
341,MNG,Montenegro,01:32:08 AM,01:38:55 AM,,,,,
341,MNG,Montenegro,03:39:26 AM,31:45:32,,,,,
343,MAC,Macedonia,(Former,Yugoslav,Republic,of),08:44:11 PM,31:45:32,
344,CRO,Croatia,27:37:12,31:45:32,,,,,
340,SER,Serbia,01:38:18 PM,01:41:55 AM,,,,,
340,SER,Serbia,05:39:26 AM,31:45:32,,,,,
345,YUG,Yugoslavia,01:43:58 AM,04:39:26 AM,,,,,
346,BOS,Bosnia-Herzegovina,27:37:12,31:45:32,,,,,
347,KOS,Kosovo,05:35:28 PM,31:45:32,,,,,
349,SLV,Slovenia,27:37:12,31:45:32,,,,,
350,GRC,Greece,25:34:28,31:45:32,,,,,
352,CYP,Cyprus,04:40:40 PM,31:45:32,,,,,
355,BUL,Bulgaria,03:34:18 AM,31:45:32,,,,,
359,MLD,Moldova,27:41:11,31:45:32,,,,,
360,RUM,Rumania,01:38:18 PM,31:45:32,,,,,
365,RUS,Russia,(Soviet,Union),01:31:16 AM,31:45:32,,,
366,EST,Estonia,11:42:58 AM,01:38:20 AM,,,,,
366,EST,Estonia,06:42:11 AM,31:45:32,,,,,
367,LAT,Latvia,11:42:58 AM,01:38:20 AM,,,,,
367,LAT,Latvia,06:42:11 AM,31:45:32,,,,,
368,LIT,Lithuania,04:33:58 PM,01:38:20 AM,,,,,
368,LIT,Lithuania,06:42:11 AM,31:45:32,,,,,
369,UKR,Ukraine,01:45:11 AM,31:45:32,,,,,
370,BLR,Belarus,(Byelorussia),25:41:11,31:45:32,,,,
371,ARM,Armenia,09:45:11 PM,31:45:32,,,,,
372,GRG,Georgia,06:42:11 AM,31:45:32,,,,,
373,AZE,Azerbaijan,09:45:11 PM,31:45:32,,,,,
375,FIN,Finland,06:43:57 AM,31:45:32,,,,,
380,SWD,Sweden,01:31:16 AM,31:45:32,,,,,
385,NOR,Norway,26:39:45,31:45:32,,,,,
390,DEN,Denmark,01:31:16 AM,31:45:32,,,,,
395,ICE,Iceland,05:38:24 PM,31:45:32,,,,,
402,CAP,Cape,Verde,05:39:55 AM,31:45:32,,,,
404,GNB,Guinea-Bissau,10:41:54 AM,31:45:32,,,,,
411,EQG,Equatorial,Guinea,12:42:48 PM,31:45:32,,,,
420,GAM,Gambia,06:34:45 PM,31:45:32,,,,,
432,MLI,Mali,10:41:40 PM,31:45:32,,,,,
433,SEN,Senegal,04:36:40 AM,31:45:32,,,,,
434,BEN,Benin,01:40:40 AM,31:45:32,,,,,
435,MAA,Mauritania,28:43:40,31:45:32,,,,,
436,NIR,Niger,03:40:40 AM,31:45:32,,,,,
437,CDI,Cote,D’Ivoire,07:40:40 AM,31:45:32,,,,
438,GUI,Guinea,02:42:38 AM,31:45:32,,,,,
439,BFO,Burkina,Faso,(Upper,Volta),05:40:40 AM,31:45:32,,
450,LBR,Liberia,26:37:47,31:45:32,,,,,
451,SIE,Sierra,Leone,27:36:41,31:45:32,,,,
452,GHA,Ghana,06:35:37 AM,31:45:32,,,,,
461,TOG,Togo,27:36:40,31:45:32,,,,,
471,CAO,Cameroon,01:33:40 AM,31:45:32,,,,,
475,NIG,Nigeria,01:42:40 AM,31:45:32,,,,,
481,GAB,Gabon,05:40:40 PM,31:45:32,,,,,
482,CEN,Central,African,Republic,01:40:40 PM,31:45:32,,,
483,CHA,Chad,11:40:40 AM,31:45:32,,,,,
484,CON,Congo,03:40:40 PM,31:45:32,,,,,
490,DRC,Congo,,Democratic,Republic,of,(Zaire),30:38:40,31:45:32
500,UGA,Uganda,09:42:42 AM,31:45:32,,,,,
501,KEN,Kenya,12:44:43 PM,31:45:32,,,,,
510,TAZ,Tanzania/Tanganyika,09:44:41 AM,31:45:32,,,,,
511,ZAN,Zanzibar,07:44:43 PM,26:36:44,,,,,
516,BUI,Burundi,01:39:42 AM,31:45:32,,,,,
517,RWA,Rwanda,07:33:42 AM,31:45:32,,,,,
520,SOM,Somalia,01:39:40 AM,31:45:32,,,,,
522,DJI,Djibouti,27:38:57,31:45:32,,,,,
530,ETH,Ethiopia,11:32:55 AM,31:45:32,,,,,
531,ERI,Eritrea,24:38:13,31:45:32,,,,,
540,ANG,Angola,11:43:55 AM,31:45:32,,,,,
541,MZM,Mozambique,25:38:55,31:45:32,,,,,
551,ZAM,Zambia,24:42:44,31:45:32,,,,,
552,ZIM,Zimbabwe,(Rhodesia),11:43:45 AM,31:45:32,,,,
553,MAW,Malawi,06:39:44 AM,31:45:32,,,,,
560,SAF,South,Africa,31:36:50,31:45:32,,,,
563,TRA,Transvaal,01:31:52 AM,30:36:50,,,,,
564,OFS,Orange,Free,State,28:33:54,30:36:50,,,
565,NAM,Namibia,09:36:10 PM,31:45:32,,,,,
570,LES,Lesotho,04:42:46 AM,31:45:32,,,,,
571,BOT,Botswana,30:41:46,31:45:32,,,,,
572,SWA,Swaziland,06:41:48 AM,31:45:32,,,,,
580,MAG,Madagascar,(Malagasy),01:31:16 AM,05:39:36 AM,,,,
580,MAG,Madagascar,26:38:40,31:45:32,,,,,
581,COM,Comoros,06:39:55 AM,31:45:32,,,,,
590,MAS,Mauritius,12:35:48 PM,31:45:32,,,,,
600,MOR,Morocco,01:31:16 AM,01:32:44 AM,,,,,
600,MOR,Morocco,02:35:36 AM,31:45:32,,,,,
615,ALG,Algeria,01:31:16 AM,05:37:30 AM,,,,,
615,ALG,Algeria,05:39:42 AM,31:45:32,,,,,
616,TUN,Tunisia,01:31:16 AM,12:36:21 PM,,,,,
616,TUN,Tunisia,01:33:36 AM,31:45:32,,,,,
620,LIB,Libya,01:31:16 AM,31:42:34,,,,,
620,LIB,Libya,24:44:31,31:45:32,,,,,
625,SUD,Sudan,01:33:36 AM,31:45:32,,,,,
626,SSD,South,Sudan,09:40:31 AM,31:45:32,,,,
630,IRN,Iran,(Persia),01:31:16 AM,31:45:32,,,,
640,TUR,Turkey,(Ottoman,Empire),01:31:16 AM,31:45:32,,,
645,IRQ,Iraq,03:42:12 AM,31:45:32,,,,,
651,EGY,Egypt,01:31:27 AM,31:42:55,,,,,
651,EGY,Egypt,28:34:02,31:45:32,,,,,
652,SYR,Syria,01:33:26 AM,31:45:32,,,,,
660,LEB,Lebanon,10:43:24 PM,31:45:32,,,,,
663,JOR,Jordan,25:37:26,31:45:32,,,,,
666,ISR,Israel,02:37:28 PM,31:45:32,,,,,
670,SAU,Saudi,Arabia,11:41:12 PM,31:45:32,,,,
678,YEM,Yemen,(Arab,Republic,of,Yemen),30:41:58,31:45:32,
680,YPR,Yemen,,People's,Republic,of,30:43:47,09:38:10 PM,
690,KUW,Kuwait,07:38:41 PM,31:45:32,,,,,
692,BAH,Bahrain,03:40:51 PM,31:45:32,,,,,
694,QAT,Qatar,03:41:51 AM,31:45:32,,,,,
696,UAE,United,Arab,Emirates,02:44:51 AM,31:45:32,,,
698,OMA,Oman,01:31:16 AM,31:45:32,,,,,
700,AFG,Afghanistan,01:31:16 AM,30:43:28,,,,,
700,AFG,Afghanistan,01:36:59 AM,31:45:32,,,,,
701,TKM,Turkmenistan,27:43:11,31:45:32,,,,,
702,TAJ,Tajikistan,09:42:11 AM,31:45:32,,,,,
703,KYR,Kyrgyz,Republic,31:41:11,31:45:32,,,,
704,UZB,Uzbekistan,31:41:11,31:45:32,,,,,
705,KZK,Kazakhstan,04:45:11 PM,31:45:32,,,,,
710,CHN,China,01:31:16 AM,31:45:32,,,,,
711,TBT,Tibet,01:32:53 AM,01:42:30 AM,,,,,
712,MON,Mongolia,01:35:01 PM,31:45:32,,,,,
713,TAW,Taiwan,08:44:29 AM,31:45:32,,,,,
730,KOR,Korea,01:31:16 AM,10:39:50 PM,,,,,
731,PRK,Korea,,People's,Republic,of,09:41:28 AM,31:45:32,
732,ROK,Korea,,Republic,of,03:40:28 PM,31:45:32,,
740,JPN,Japan,01:31:16 AM,31:45:32,,,,,
750,IND,India,03:40:27 PM,31:45:32,,,,,
760,BHU,Bhutan,01:33:29 AM,31:45:32,,,,,
770,PAK,Pakistan,02:40:27 PM,31:45:32,,,,,
771,BNG,Bangladesh,04:44:51 PM,31:45:32,,,,,
775,MYA,Myanmar,(Burma),01:31:16 AM,31:43:25,,,,
775,MYA,Myanmar,(Burma),04:33:28 AM,31:45:32,,,,
780,SRI,Sri,Lanka,(Ceylon),04:34:28 AM,31:45:32,,,
781,MAD,Maldives,26:37:45,31:45:32,,,,,
790,NEP,Nepal,01:31:16 AM,31:45:32,,,,,
800,THI,Thailand,01:31:16 AM,31:45:32,,,,,
811,CAM,Cambodia,(Kampuchea),09:43:33 AM,31:45:32,,,,
812,LAO,Laos,01:37:34 AM,31:45:32,,,,,
815,VNM,Vietnam,(Annam/Cochin,China/Tonkin),01:31:16 AM,01:32:33 AM,,,
816,DRV,Vietnam,,Democratic,Republic,of,01:37:34 AM,31:45:32,
817,RVN,Vietnam,,Republic,of,01:37:34 AM,30:36:55,,
820,MAL,Malaysia,31:40:37,31:45:32,,,,,
830,SIN,Singapore,09:40:45 AM,31:45:32,,,,,
835,BRU,Brunei,01:34:04 AM,31:45:32,,,,,
840,PHI,Philippines,04:39:26 AM,31:45:32,,,,,
850,INS,Indonesia,05:40:25 PM,31:45:32,,,,,
860,ETM,East,Timor,08:38:22 PM,31:45:32,,,,
900,AUL,Australia,01:32:41 AM,31:45:32,,,,,
910,PNG,Papua,New,Guinea,04:41:55 PM,31:45:32,,,
920,NEW,New,Zealand,01:40:47 AM,31:45:32,,,,
940,SOL,Solomon,Islands,07:39:58 AM,31:45:32,,,,
950,FJI,Fiji,10:42:50 AM,31:45:32,,,,,
